id,buyer_id,product_id,quantity
019f3fc7-f57c-74b8-a96d-88863c4af56c,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc7-2a31-710d-8cfb-3179190c30c8,1
019f3fc7-f859-760d-b56b-3f21c0b0414c,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc7-4119-7733-837f-dda3bc79673f,1
019f3fc7-fb36-78c3-a83b-f261f6ad2319,019f3fc6-dce2-74f6-81e2-073ed9ac6f89,019f3fc7-2754-75b7-b868-86f58ddb8d9f,1
019f3fc7-fe13-7152-90a9-92fd04f8294f,019f3fc6-dce2-74f6-81e2-073ed9ac6f89,019f3fc7-3e3c-7d74-8c72-e254fc50fab9,2
019f3fc8-00f0-759b-8a2c-0ca81be71868,019f3fc6-dce2-74f6-81e2-073ed9ac6f89,019f3fc7-5247-7de1-89d9-7df7e2761614,1
019f3fc8-03cd-71e2-96e1-7b54985c7764,019f3fc6-dfbf-7ae5-b7eb-569718e27a5d,019f3fc7-43f6-79f2-bd9c-20ace5071553,4
019f3fc8-06aa-7a21-a7c5-4e34776e72f8,019f3fc6-e29c-7ead-9c24-538ea7f40175,019f3fc7-32c8-766d-bd88-67b39a508061,1
019f3fc8-0987-730e-a870-cbaf5b5e20e4,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-43f6-79f2-bd9c-20ace5071553,1
019f3fc8-0c64-7e12-b9c6-c88bb9a2b1c1,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-219a-7a5d-8a26-cad7bd34938d,2
019f3fc8-0f41-781f-a61b-b58543906eb4,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-692f-7d2e-b9d5-cab0b5a6bc88,1
019f3fc8-121e-7d88-a24f-0603f79e0af0,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-5247-7de1-89d9-7df7e2761614,2
019f3fc8-14fb-7d61-a158-97cd08ab6409,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-4119-7733-837f-dda3bc79673f,1
019f3fc8-17d8-78ae-8673-678301884595,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-219a-7a5d-8a26-cad7bd34938d,2
019f3fc8-1ab5-730b-825c-50ba88c91eea,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc7-43f6-79f2-bd9c-20ace5071553,1
019f3fc8-1d92-7a12-810b-0e58ace9f5a0,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc7-2a31-710d-8cfb-3179190c30c8,3
019f3fc8-206f-7e96-9f78-cfa6f05f8afe,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc7-692f-7d2e-b9d5-cab0b5a6bc88,1
019f3fc8-234c-7b09-ac27-86f57e14d1ce,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc7-5ade-7cc3-8014-52057c00186c,2
019f3fc8-2629-7357-a961-70bb8883e2bb,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc7-2d0e-78eb-a3c7-b1da483066c5,3
