id,buyer_id,product_id
019f3fc8-2906-7e32-9784-f69ceda62e7e,019f3fc6-da05-7bb0-8910-141c407d2240,019f3fc7-4f6a-796a-b769-d1102a30d097
019f3fc8-2be3-7ee6-8a7a-cc1a2a5b18bd,019f3fc6-dce2-74f6-81e2-073ed9ac6f89,019f3fc7-5247-7de1-89d9-7df7e2761614
019f3fc8-2ec0-7a5e-a6d3-69351e9da3b8,019f3fc6-dfbf-7ae5-b7eb-569718e27a5d,019f3fc7-5524-7c08-bcfc-5203620cea41
019f3fc8-319d-73e6-aca3-7db706fc5138,019f3fc6-e29c-7ead-9c24-538ea7f40175,019f3fc7-49b0-7ec8-bc1d-91b1904a6ef4
019f3fc8-347a-7313-b648-f86c07be6a0f,019f3fc6-e29c-7ead-9c24-538ea7f40175,019f3fc7-5ade-7cc3-8014-52057c00186c
019f3fc8-3757-79c5-93d3-725b6479c685,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-6375-7738-bbf8-ab3e16ef5bda
019f3fc8-3a34-776a-99b1-cb83721af519,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-3b5f-7143-8f73-4202813edb4e
019f3fc8-3d11-7c42-a409-ac008f4924a1,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-46d3-7a9f-9112-221661990274
019f3fc8-3fee-72a9-a0d4-836fb5ddeaea,019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,019f3fc7-5247-7de1-89d9-7df7e2761614
019f3fc8-42cb-7151-bcbd-10224d078905,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-3e3c-7d74-8c72-e254fc50fab9
019f3fc8-45a8-70d8-b432-445c8cd90744,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-3882-7eab-b9b2-a3eb33059223
019f3fc8-4885-7652-9d70-3db643cccc08,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-32c8-766d-bd88-67b39a508061
019f3fc8-4b62-7cde-80ed-d8e8b57d1eab,019f3fc6-e856-7853-9f2a-ee64b91bbb1c,019f3fc7-6652-7c97-b6b5-b2be23ec4f29
019f3fc8-4e3f-7b7f-95e6-79b28648271d,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc7-5dbb-74bd-9c58-6b08fe886cfa
019f3fc8-511c-7cfe-afd2-6c8e3a2dda99,019f3fc6-eb33-7f8e-b93f-9963d0b441a0,019f3fc7-6375-7738-bbf8-ab3e16ef5bda
019f3fc8-53f9-7d3b-8340-ad15a7538625,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc7-2477-7914-adb4-f2f9e3ba8b77
019f3fc8-56d6-75c5-a5c2-b6fb4a9723fd,019f3fc6-ee10-7878-b7ac-458c26365f5f,019f3fc7-5247-7de1-89d9-7df7e2761614
