id,product_id,url,alt_text,sort_order,is_primary
019f3fc7-74a3-7aae-8d58-92982b14aecb,019f3fc7-1ebd-74f6-9d9d-5b779e5b6b41,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=500,Fresh Organic Spinach,0,true
019f3fc7-7780-77dc-9a01-ced0c96fe7d6,019f3fc7-1ebd-74f6-9d9d-5b779e5b6b41,https://images.unsplash.com/photo-1542838132-92c53300491e?w=500,Fresh Organic Spinach close-up,1,false
019f3fc7-7a5d-7d18-aa5d-975a87a3998b,019f3fc7-219a-7a5d-8a26-cad7bd34938d,https://images.unsplash.com/photo-1592841200221-a6898f307baa?w=500,Organic Cherry Tomatoes,0,true
019f3fc7-7d3a-72f4-8843-83d4201cbe87,019f3fc7-2477-7914-adb4-f2f9e3ba8b77,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=500,Organic Broccoli,0,true
019f3fc7-8017-76a3-9ca8-25ee793cad54,019f3fc7-2477-7914-adb4-f2f9e3ba8b77,https://images.unsplash.com/photo-1518843875459-f738682238a6?w=500,Organic Broccoli close-up,1,false
019f3fc7-82f4-705d-8bef-608f76a07716,019f3fc7-2754-75b7-b868-86f58ddb8d9f,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500,Organic Green Apple,0,true
019f3fc7-85d1-7171-b5d3-7506e38ea282,019f3fc7-2a31-710d-8cfb-3179190c30c8,https://images.unsplash.com/photo-1524179091875-bf99a9a6af57?w=500,Organic Kale,0,true
019f3fc7-88ae-7ceb-8755-cc92365e8f7b,019f3fc7-2a31-710d-8cfb-3179190c30c8,https://images.unsplash.com/photo-1542838132-92c53300491e?w=500,Organic Kale close-up,1,false
019f3fc7-8b8b-7623-91a9-fc9b328a5e62,019f3fc7-2d0e-78eb-a3c7-b1da483066c5,https://images.unsplash.com/photo-1617112848923-cc2234396a8f?w=500,Sweet California Papaya,0,true
019f3fc7-8e68-7fb4-ab1e-ca644b808dc8,019f3fc7-2feb-7bda-a32b-4025a480151d,https://images.unsplash.com/photo-1622206151226-18ca2c9d680f?w=500,Fresh Lettuce Head,0,true
