id,order_id,product_id,product_name,product_image,quantity,price,subtotal
019f3fc8-5c90-7d5c-bf51-480305150a0d,019f3fc8-59b3-7ce5-add6-f4224f943327,019f3fc7-43f6-79f2-bd9c-20ace5071553,Glutinous Rice 2kg,https://images.unsplash.com/photo-1613728104727-2b3f7f1f7cd5?w=500,1,38000.00,38000.00
019f3fc8-5f6d-7d73-8292-ffa30ed6b2cf,019f3fc8-59b3-7ce5-add6-f4224f943327,019f3fc7-4119-7733-837f-dda3bc79673f,Red Rice 2kg,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=500,1,45000.00,45000.00
019f3fc8-624a-7a72-8da5-6648824e3521,019f3fc8-59b3-7ce5-add6-f4224f943327,019f3fc7-46d3-7a9f-9112-221661990274,Yellow Corn Kernels 1kg,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=500,3,18000.00,54000.00
019f3fc8-6804-72b2-82af-bd7e164d72a0,019f3fc8-6527-7e6e-8d2e-0bec8fb84725,019f3fc7-4f6a-796a-b769-d1102a30d097,Red Chili Pepper 250g,https://images.unsplash.com/photo-1583119022894-919a68a3d0e3?w=500,1,11000.00,11000.00
019f3fc8-6dbe-7cb9-ae4f-70f84cb2de05,019f3fc8-6ae1-71a2-9ded-2a2eb83c9d5b,019f3fc7-71c6-7356-a09f-7929597931c5,Fresh Potato 1kg,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500,3,9500.00,28500.00
019f3fc8-7378-726e-b33d-4d5a3045054e,019f3fc8-709b-76f2-98f8-94f95b4766c6,019f3fc7-5247-7de1-89d9-7df7e2761614,Fresh Lemongrass 200g,https://images.unsplash.com/photo-1622480916113-9000ac49b79d?w=500,1,6000.00,6000.00
019f3fc8-7655-730b-987b-813827931480,019f3fc8-709b-76f2-98f8-94f95b4766c6,019f3fc7-49b0-7ec8-bc1d-91b1904a6ef4,Fresh Turmeric 250g,https://images.unsplash.com/photo-1615485500704-8e990f9900f7?w=500,3,9000.00,27000.00
019f3fc8-7932-746e-9c11-2f15dbc115d1,019f3fc8-709b-76f2-98f8-94f95b4766c6,019f3fc7-5524-7c08-bcfc-5203620cea41,Bay Leaves 100g,https://images.unsplash.com/photo-1615485925600-97237c4fc1ec?w=500,3,5000.00,15000.00
019f3fc8-7eec-7f6a-a63b-b69061af4473,019f3fc8-7c0f-7b28-b965-00dd2a4149fe,019f3fc7-46d3-7a9f-9112-221661990274,Yellow Corn Kernels 1kg,https://images.unsplash.com/photo-1601493700631-2b16ec4b4716?w=500,2,18000.00,36000.00
019f3fc8-81c9-7ae7-983a-b76381f7cbc9,019f3fc8-7c0f-7b28-b965-00dd2a4149fe,019f3fc7-43f6-79f2-bd9c-20ace5071553,Glutinous Rice 2kg,https://images.unsplash.com/photo-1613728104727-2b3f7f1f7cd5?w=500,2,38000.00,76000.00
019f3fc8-84a6-7356-a2a4-6cc6f4ffba92,019f3fc8-7c0f-7b28-b965-00dd2a4149fe,019f3fc7-3e3c-7d74-8c72-e254fc50fab9,Organic Brown Rice 5kg,https://images.unsplash.com/photo-1516684732162-798a0062be99?w=500,1,82000.00,82000.00
019f3fc8-8a60-7a93-a3f7-7a3e5f97fecf,019f3fc8-8783-7f2a-80eb-1110dc815dc6,019f3fc7-6098-7f9e-9867-9e9d2622de7c,Golden Pineapple 1pc,https://images.unsplash.com/photo-1550258987-190a2d41a8ba?w=500,1,18000.00,18000.00
