id,product_id,transaction_id,product_name,quantity,price,subtotal
019f3fc9-16ad-7bba-a2de-a916dd0fc14f,019f3fc7-43f6-79f2-bd9c-20ace5071553,019f3fc9-13d0-707d-8fce-ae83d244a0e4,Glutinous Rice 2kg,1,38000.00,38000.00
019f3fc9-198a-718d-a594-d163d8396298,019f3fc7-4119-7733-837f-dda3bc79673f,019f3fc9-13d0-707d-8fce-ae83d244a0e4,Red Rice 2kg,1,45000.00,45000.00
019f3fc9-1c67-7f76-a4dc-b9cb1cf2bac8,019f3fc7-46d3-7a9f-9112-221661990274,019f3fc9-13d0-707d-8fce-ae83d244a0e4,Yellow Corn Kernels 1kg,3,18000.00,54000.00
019f3fc9-2221-7b70-a3cd-51951c90f278,019f3fc7-4f6a-796a-b769-d1102a30d097,019f3fc9-1f44-7852-a473-a21b10544e96,Red Chili Pepper 250g,1,11000.00,11000.00
019f3fc9-27db-73a1-8e83-6e6f27720500,019f3fc7-71c6-7356-a09f-7929597931c5,019f3fc9-24fe-7e86-950f-859d78b75504,Fresh Potato 1kg,3,9500.00,28500.00
019f3fc9-2d95-7ea0-9eb6-eca4138e5884,019f3fc7-5247-7de1-89d9-7df7e2761614,019f3fc9-2ab8-7e3b-ad37-4bf5377aba23,Fresh Lemongrass 200g,1,6000.00,6000.00
019f3fc9-3072-7f3e-b511-5b48cca21fb5,019f3fc7-49b0-7ec8-bc1d-91b1904a6ef4,019f3fc9-2ab8-7e3b-ad37-4bf5377aba23,Fresh Turmeric 250g,3,9000.00,27000.00
019f3fc9-334f-7f7a-a468-bdab1cacfe74,019f3fc7-5524-7c08-bcfc-5203620cea41,019f3fc9-2ab8-7e3b-ad37-4bf5377aba23,Bay Leaves 100g,3,5000.00,15000.00
019f3fc9-3909-7358-b8a8-08ecbd8e6d6d,019f3fc7-46d3-7a9f-9112-221661990274,019f3fc9-362c-7e90-9ba3-f96892ca00ea,Yellow Corn Kernels 1kg,2,18000.00,36000.00
019f3fc9-3be6-7e16-864d-6ab05e7ee280,019f3fc7-43f6-79f2-bd9c-20ace5071553,019f3fc9-362c-7e90-9ba3-f96892ca00ea,Glutinous Rice 2kg,2,38000.00,76000.00
019f3fc9-3ec3-760a-b94c-0eeb6b35f5bf,019f3fc7-3e3c-7d74-8c72-e254fc50fab9,019f3fc9-362c-7e90-9ba3-f96892ca00ea,Organic Brown Rice 5kg,1,82000.00,82000.00
019f3fc9-447d-7dc1-a0d4-94f43b42fa19,019f3fc7-6098-7f9e-9867-9e9d2622de7c,019f3fc9-41a0-76e2-bcbe-5c0a1680c571,Golden Pineapple 1pc,1,18000.00,18000.00
019f3fc9-4a37-7ec2-9071-e10a53448947,019f3fc7-6ee9-7788-a84a-b0f570af6c08,019f3fc9-475a-76b6-8a29-1f6846b164c4,Taro Root 1kg,1,13000.00,13000.00
